co,id2_intermedio,id3_intermedio
0200300188X,4533,9291
0200300189X,4534,9292
0200300190X,4535,9293
0200300191X,4536,9294
0200300192X,4537,9295
0200300193X,4538,9296
0200300194X,4539,9297
0200300195X,4540,9298
0200300196X,4541,9299
0200300197X,4542,9300
0200300198X,4543,9301
0200300199X,4544,9302
0200300200X,4545,9303
0200300201X,4546,9304
0200300202X,4547,9305
0200300203X,4548,9306
0200300204X,4549,9307
0200300205X,4550,9308
0200300206X,4551,9309
0200300207X,4552,9310
0200300208X,4553,9311
0200300209X,4554,9312
0200300210X,4555,9313
0200300211X,4556,9314
0200300212X,4557,9315
0200300213X,4558,9316
0200300214X,4559,9317
0200300215X,4560,9318
0200300216X,4561,9319
0200300217X,4562,9320
0200300218X,4563,9321
0200300219X,4564,9322
0200300220X,4565,9323
0200300221X,4566,9324
0200300222X,4567,9325
0200300223X,4568,9326
0200300224X,4569,9327
0200300225X,4570,9328
0200300226X,4571,9329
0200300227X,4572,9330
0200300228X,4573,9331
0200300229X,4574,9332
0200300230X,4575,9333
0200300231X,4576,9334
0200300232X,4577,9335
0200300233X,4578,9336
0200300234X,4579,9337
0200300235X,4580,9338
0200300236X,4581,9339
0200300237X,4582,9340
0200300238X,4583,9341
0200300239X,4584,9342
0200300240X,4585,9343
0200300241X,4586,9344
0200300242X,4587,9345
0200300243X,4588,9346
0200300244X,4589,9347
0200300245X,4590,9348
0200300246X,4591,9349
0200300247X,4592,9350
0200300248X,4593,9351
0200300249X,4594,9352
0200300250X,4595,9353
0200300251X,4596,9354
0200300252X,4597,9355
0200300253X,4598,9356
0200300254X,4599,9357
0200300255X,4600,9358
0200300256X,4601,9359
0200300257X,4602,9360
0200300258X,4603,9361
0200300259X,4604,9362
0200300260X,4605,9363
0200300261X,4606,9364
0200300262X,4607,9365
0200300263X,4608,9366
0200300264X,4609,9367
0200300265X,4610,9368
0200300266X,4611,9369
0200300267X,4612,9370
0200300268X,4613,9371
0200300269X,4614,9372
0200300270X,4615,9373
0200300271X,4616,9374
0200300272X,4617,9375
0200300273X,4618,9376
0200300274X,4619,9377
0200300275X,4620,9378
0200300276X,4621,9379
0200300277X,4622,9380
0200300278X,4623,9381
0200300279X,4624,9382
0200300280X,4625,9383
0200300281X,4626,9384
0200300282X,4627,9385
0200300283X,4628,9386
0200300284X,4629,9387
0200300285X,4630,9388
0200300286X,4631,9389
0200300287X,4632,9390
0200300288X,4633,9391
0200300289X,4634,9392
0200300290X,4635,9393
0200300291X,4636,9394
0200300292X,4637,9395
0200300293X,4638,9396
0200300294X,4639,9397
0200300295X,4640,9398
0200300296X,4641,9399
0200300297X,4642,9400
0200300298X,4643,9401
0200300299X,4644,9402
0200300300X,4645,9403
0200300301X,4646,9404
0200300302X,4647,9405
0200300303X,4648,9406
0200300304X,4649,9407
0200300305X,4650,9408
0200300306X,4651,9409
0200300307X,4652,9410
0200300308X,4653,9411
0200300309X,4654,9412
0200300310X,4655,9413
0200300311X,4656,9414
0200300312X,4657,9415
0200300313X,4658,9416
0200300314X,4659,9417
0200300315X,4660,9418
0200300316X,4661,9419
0200300317X,4662,9420
0200300318X,4663,9421
0200300319X,4664,9422
0200300320X,4665,9423
0200300321X,4666,9424
0200300322X,4667,9425
0200300323X,4668,9426
0200300324X,4669,9427
0200300325X,4670,9428
0200300326X,4671,9429
0200300327X,4672,9430
0200300328X,4673,9431
0200300329X,4674,9432
0200300330X,4675,9433
0200300331X,4676,9434
0200300332X,4677,9435
0200300333X,4678,9436
0200300334X,4679,9437
0200300335X,4680,9438
0200300336X,4681,9439
0200300337X,4682,9440
0200300338X,4683,9441
0200300339X,4684,9442
0200300340X,4685,9443
0200300341X,4686,9444
0200300342X,4687,9445
0200300343X,4688,9446
0200300344X,4689,9447
0200300345X,4690,9448
0200300346X,4691,9449
0200300347X,4692,9450
0200300348X,4693,9451
0200300349X,4694,9452
0200300350X,4695,9453
0200300351X,4696,9454
0200300352X,4697,9455
0200300353X,4698,9456
0200300354X,4699,9457
0200300355X,4700,9458
0200300356X,4701,9459
0200300357X,4702,9460
0200300358X,4703,9461
0200300359X,4704,9462
0200300360X,4705,9463
0200300361X,4706,9464
0200300362X,4707,9465
0200300363X,4708,9466
0200300364X,4709,9467
0200300365X,4710,9468
0200300366X,4711,9469
0200300367X,4712,9470
0200300368X,4713,9471
0200300369X,4714,9472
0200300370X,4715,9473
0200300371X,4716,9474
0200300372X,4717,9475
0200300373X,4718,9476
0200300374X,4719,9477
0200300375X,4720,9478
0200300376X,4721,9479
0200300377X,4722,9480
0200300378X,4723,9481
0200300379X,4724,9482
0200300380X,4725,9483
0200300381X,4726,9484
0200300382X,4727,9485
0200300383X,4728,9486
0200300384X,4729,9487
0200300385X,4730,9488
0200300386X,4731,9489
0200300387X,4732,9490
0200300388X,4733,9491
0200300389X,4734,9492
0200300390X,4735,9493
0200300391X,4736,9494
0200300392X,4737,9495
0200300393X,4738,9496
0200300394X,4739,9497
0200300395X,4740,9498
0200300396X,4741,9499
0200300397X,4742,9500
0200300398X,4743,9501
0200300399X,4744,9502
0200300400X,4745,9503
0200300401X,4746,9504
0200300402X,4747,9505
0200300403X,4748,9506
0200300404X,4749,9507
0200300405X,4750,9508
0200300406X,4751,9509
0200300407X,4752,9510
0200300408X,4753,9511
0200300409X,4754,9512
0200300410X,4755,9513
0200300411X,4756,9514
0200300412X,4757,9515
0200300413X,4758,9516
0200300414X,4759,9517
0200300415X,4760,9518
0200300416X,4761,9519
0200300417X,4762,9520
0200300418X,4763,9521
0200300419X,4764,9522
0200300420X,4765,9523
0200300421X,4766,9524
0200300422X,4767,9525
0200300423X,4768,9526
0200300424X,4769,9527
0200300425X,4770,9528
0200300426X,4771,9529
0200300427X,4772,9530
0200300428X,4773,9531
0200300429X,4774,9532
0200300430X,4775,9533
0200300431X,4776,9534
0200300432X,4777,9535
0200300433X,4778,9536
0200300434X,4779,9537
0200300435X,4780,9538
0200300436X,4781,9539
0200300437X,4782,9540
0200300438X,4783,9541
0200300439X,4784,9542
0200300440X,4785,9543
0200300441X,4786,9544
0200300442X,4787,9545
0200300443X,4788,9546
0200300444X,4789,9547
0200300445X,4790,9548
0200300446X,4791,9549
0200300447X,4792,9550
0200300448X,4793,9551
0200300449X,4794,9552
0200300450X,4795,9553
0200300451X,4796,9554
0200300452X,4797,9555
0200300453X,4798,9556
0200300454X,4799,9557
0200300455X,4800,9558
0200300456X,4801,9559
0200300457X,4802,9560
0200300458X,4803,9561
0200300459X,4804,9562
0200300460X,4805,9563
0200300461X,4806,9564
0200300462X,4807,9565
0200300463X,4808,9566
0200300464X,4809,9567
0200300465X,4810,9568
0200300466X,4811,9569
0200300467X,4812,9570
0200300468X,4813,9571
0200300469X,4814,9572
0200300470X,4815,9573
0200300471X,4816,9574
0200300472X,4817,9575
0200300473X,4818,9576
0200300474X,4819,9577
0200300475X,4820,9578
0200300476X,4821,9579
0200300477X,4822,9580
0200300478X,4823,9581
0200300479X,4824,9582
0200300480X,4825,9583
0200300481X,4826,9584
0200300482X,4827,9585
0200300483X,4828,9586
0200300484X,4829,9587
0200300485X,4830,9588
0200300486X,4831,9589
0200300487X,4832,9590
0200300488X,4833,9591
0200300489X,4834,9592
0200300490X,4835,9593
0200300491X,4836,9594
0200300492X,4837,9595
0200300493X,4838,9596
0200300494X,4839,9597
0200300495X,4840,9598
0200300496X,4841,9599
0200300497X,4842,9600
0200300498X,4843,9601
0200300499X,4844,9602
0200300500X,4845,9603
0200300501X,4846,9604
0200300502X,4847,9605
0200300503X,4848,9606
0200300504X,4849,9607
0200300505X,4850,9608
0200300506X,4851,9609
0200300507X,4852,9610
0200300508X,4853,9611
0200300509X,4854,9612
0200300510X,4855,9613
0200300511X,4856,9614
0200300512X,4857,9615
0200300513X,4858,9616
0200300514X,4859,9617
0200300515X,4860,9618
0200300516X,4861,9619
0200300517X,4862,9620
0200300518X,4863,9621
0200300519X,4864,9622
0200300520X,4865,9623
0200300521X,4866,9624
0200300522X,4867,9625
0200300523X,4868,9626
0200300524X,4869,9627
0200300525X,4870,9628
0200300526X,4871,9629
0200300527X,4872,9630
0200300528X,4873,9631
0200300529X,4874,9632
0200300530X,4875,9633
0200300531X,4876,9634
0200300532X,4877,9635
0200300533X,4878,9636
0200300534X,4879,9637
0200300535X,4880,9638
0200300536X,4881,9639
0200300537X,4882,9640
0200300538X,4883,9641
0200300539X,4884,9642
0200300540X,4885,9643
0200300541X,4886,9644
0200300542X,4887,9645
0200300543X,4888,9646
0200300544X,4889,9647
0200300545X,4890,9648
0200300546X,4891,9649
0200300547X,4892,9650
0200300548X,4893,9651
0200300549X,4894,9652
0200300550X,4895,9653
0200300551X,4896,9654
0200300552X,4897,9655
0200300553X,4898,9656
0200300554X,4899,9657
0200300555X,4900,9658
0200300556X,4901,9659
0200300557X,4902,9660
0200300558X,4903,9661
0200300559X,4904,9662
0200300560X,4905,9663
0200300561X,4906,9664
0200300562X,4907,9665
0200300563X,4908,9666
0200300564X,4909,9667
0200300565X,4910,9668
0200300566X,4911,9669
0200300567X,4912,9670
0200300568X,4913,9671
0200300569X,4914,9672
0200300570X,4915,9673
0200300571X,4916,9674
0200300572X,4917,9675
0200300573X,4918,9676
0200300574X,4919,9677
0200300575X,4920,9678
0200300576X,4921,9679
0200300577X,4922,9680
0200300578X,4923,9681
0200300579X,4924,9682
0200300580X,4925,9683
0200300581X,4926,9684
0200300582X,4927,9685
0200300583X,4928,9686
0200300584X,4929,9687
0200300585X,4930,9688
0200300586X,4931,9689
0200300587X,4932,9690
0200300588X,4933,9691
0200300589X,4934,9692
0200300590X,4935,9693
0200300591X,4936,9694
0200300592X,4937,9695
0200300593X,4938,9696
0200300594X,4939,9697
0200300595X,4940,9698
0200300596X,4941,9699
0200300597X,4942,9700
0200300598X,4943,9701
0200300599X,4944,9702
0200300600X,4945,9703
0200300601X,4946,9704
0200300602X,4947,9705
0200300603X,4948,9706
0200300604X,4949,9707
0200300605X,4950,9708
0200300606X,4951,9709
0200300607X,4952,9710
0200300608X,4953,9711
0200300609X,4954,9712
0200300610X,4955,9713
0200300611X,4956,9714
0200300612X,4957,9715
0200300613X,4958,9716
0200300614X,4959,9717
0200300615X,4960,9718
0200300616X,4961,9719
0200300617X,4962,9720
0200300618X,4963,9721
0200300619X,4964,9722
0200300620X,4965,9723
0200300621X,4966,9724
0200300622X,4967,9725
0200300623X,4968,9726
0200300624X,4969,9727
0200300625X,4970,9728
0200300626X,4971,9729
0200300627X,4972,9730
0200300628X,4973,9731
0200300629X,4974,9732
0200300630X,4975,9733
0200300631X,4976,9734
0200300632X,4977,9735
0200300633X,4978,9736
0200300634X,4979,9737
0200300635X,4980,9738
0200300636X,4981,9739
0200300637X,4982,9740
0200300638X,4983,9741
0200300639X,4984,9742
0200300640X,4985,9743
0200300641X,4986,9744
0200300642X,4987,9745
0200300643X,4988,9746
0200300644X,4989,9747
0200300645X,4990,9748
0200300646X,4991,9749
0200300647X,4992,9750
0200300648X,4993,9751
0200300649X,4994,9752
0200300650X,4995,9753
0200300651X,4996,9754
0200300652X,4997,9755
0200300653X,4998,9756
0200300654X,4999,9757
0200300655X,5000,9758
0200300656X,5001,9759
0200300657X,5002,9760
0200300658X,5003,9761
0200300659X,5004,9762
0200300660X,5005,9763
0200300661X,5006,9764
0200300662X,5007,9765
0200300663X,5008,9766
0200300664X,5009,9767
0200300665X,5010,9768
0200300666X,5011,9769
0200300667X,5012,9770
0200300668X,5013,9771
0200300669X,5014,9772
0200300670X,5015,9773
0200300671X,5016,9774
0200300672X,5017,9775
0200300673X,5018,9776
0200300674X,5019,9777
0200300675X,5020,9778
0200300676X,5021,9779
0200300677X,5022,9780
0200300678X,5023,9781
0200300679X,5024,9782
0200300680X,5025,9783
0200300681X,5026,9784
0200300682X,5027,9785
0200300683X,5028,9786
0200300684X,5029,9787
0200300685X,5030,9788
0200300686X,5031,9789
0200300687X,5032,9790
0200300688X,5033,9791
0200300689X,5034,9792
0200300690X,5035,9793
0200300691X,5036,9794
0200300692X,5037,9795
0200300693X,5038,9796
0200300694X,5039,9797
0200300695X,5040,9798
0200300696X,5041,9799
0200300697X,5042,9800
0200300698X,5043,9801
0200300699X,5044,9802
0200300700X,5045,9803
0200300701X,5046,9804
0200300702X,5047,9805
0200300703X,5048,9806
0200300704X,5049,9807
0200300705X,5050,9808
0200300706X,5051,9809
0200300707X,5052,9810
0200300708X,5053,9811
0200300709X,5054,9812
0200300710X,5055,9813
0200300711X,5056,9814
0200300712X,5057,9815
0200300713X,5058,9816
0200300714X,5059,9817
0200300715X,5060,9818
0200300716X,5061,9819
0200300717X,5062,9820
0200300718X,5063,9821
0200300719X,5064,9822
0200300720X,5065,9823
